epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
1,3.8147,4.4787,3.2447,0.2985,0.2483,0.1994,0.0970
2,3.6715,4.3123,3.1071,0.3163,0.2749,0.2276,0.1180
3,3.5187,4.1943,3.0358,0.3466,0.3073,0.2583,0.1446
4,3.4689,4.0791,2.9410,0.3682,0.3186,0.2790,0.1621
5,3.3631,3.9084,2.8297,0.3916,0.3461,0.3035,0.1803
6,3.2472,3.7757,2.8393,0.4150,0.3704,0.3293,0.2002
7,3.1241,3.6449,2.7025,0.4342,0.3890,0.3467,0.2208
8,3.0399,3.5179,2.6091,0.4467,0.4010,0.3689,0.2414
9,2.9459,3.4221,2.5725,0.4691,0.4200,0.4038,0.2559
10,2.8135,3.2620,2.4906,0.4896,0.4484,0.4181,0.2747
11,2.7775,3.1646,2.4311,0.5035,0.4555,0.4311,0.2889
12,2.6764,3.0991,2.4128,0.5216,0.4724,0.4499,0.3110
13,2.6382,2.9761,2.3540,0.5340,0.4907,0.4694,0.3205
14,2.5475,2.8757,2.2878,0.5482,0.5054,0.4855,0.3319
15,2.5107,2.7944,2.2250,0.5607,0.5267,0.5012,0.3518
16,2.4434,2.6915,2.1510,0.5726,0.5432,0.5251,0.3573
17,2.3529,2.6149,2.1298,0.5989,0.5456,0.5381,0.3764
18,2.2929,2.5799,2.0589,0.5972,0.5649,0.5536,0.3846
19,2.2164,2.4524,2.0276,0.6123,0.5710,0.5661,0.3959
20,2.1208,2.3953,1.9938,0.6313,0.5866,0.5830,0.3972
21,2.0702,2.2981,1.9485,0.6404,0.6006,0.5861,0.4116
22,2.0230,2.2528,1.8990,0.6485,0.6121,0.5988,0.4222
23,1.9764,2.1589,1.8918,0.6641,0.6224,0.6173,0.4253
24,1.9298,2.1323,1.8237,0.6668,0.6284,0.6259,0.4356
25,1.8656,2.0396,1.8073,0.6821,0.6404,0.6312,0.4480
26,1.8235,2.0007,1.7801,0.6814,0.6572,0.6448,0.4582
27,1.8089,1.9290,1.7711,0.6968,0.6659,0.6545,0.4652
28,1.7736,1.9143,1.7057,0.7055,0.6732,0.6703,0.4737
29,1.6822,1.8330,1.6890,0.7140,0.6844,0.6741,0.4726
30,1.6977,1.8153,1.6404,0.7192,0.6896,0.6859,0.4834
31,1.6511,1.7145,1.6257,0.7312,0.7039,0.6995,0.4961
32,1.6197,1.6990,1.5811,0.7301,0.7081,0.6974,0.4971
33,1.5680,1.6192,1.5549,0.7382,0.7079,0.7085,0.5084
34,1.5799,1.5456,1.5424,0.7501,0.7151,0.7169,0.5170
35,1.4731,1.5564,1.5127,0.7569,0.7299,0.7258,0.5140
36,1.4501,1.4805,1.5333,0.7640,0.7306,0.7283,0.5222
37,1.4242,1.4649,1.4424,0.7712,0.7316,0.7425,0.5326
38,1.4036,1.4108,1.4394,0.7723,0.7479,0.7422,0.5386
39,1.4094,1.3725,1.4039,0.7769,0.7414,0.7474,0.5427
40,1.3479,1.3460,1.4141,0.7755,0.7487,0.7508,0.5433
41,1.3449,1.3076,1.4032,0.7958,0.7576,0.7540,0.5491
42,1.3030,1.3290,1.3916,0.7959,0.7567,0.7665,0.5523
43,1.2798,1.2819,1.3721,0.8081,0.7666,0.7722,0.5614
44,1.2691,1.2542,1.3296,0.8051,0.7704,0.7687,0.5609
45,1.2784,1.2083,1.3514,0.8132,0.7810,0.7874,0.5683
46,1.2319,1.2008,1.2928,0.8111,0.7799,0.7879,0.5763
47,1.1990,1.2019,1.3069,0.8229,0.7859,0.7913,0.5718
48,1.1963,1.1142,1.2228,0.8200,0.7990,0.7956,0.5798
49,1.1617,1.1452,1.2319,0.8167,0.7905,0.8006,0.5831
50,1.1163,1.0695,1.2510,0.8302,0.7976,0.8001,0.5836
51,1.1240,1.0660,1.2156,0.8295,0.8058,0.8104,0.5845
52,1.1516,1.0251,1.2522,0.8377,0.8034,0.8074,0.5962
53,1.0834,1.0486,1.1982,0.8366,0.8081,0.8156,0.6010
54,1.1001,0.9993,1.2294,0.8463,0.8077,0.8234,0.5962
55,1.0414,1.0158,1.2162,0.8415,0.8078,0.8244,0.5987
56,1.0546,0.9649,1.1903,0.8485,0.8250,0.8270,0.6008
57,1.0507,0.9658,1.1906,0.8479,0.8134,0.8326,0.6081
58,1.0608,0.9241,1.1858,0.8470,0.8212,0.8333,0.6016
59,0.9948,0.9232,1.1711,0.8581,0.8215,0.8349,0.6090
60,1.0098,0.9270,1.1934,0.8549,0.8252,0.8360,0.6137
61,0.9757,0.8750,1.1319,0.8602,0.8212,0.8375,0.6116
62,0.9428,0.8685,1.1597,0.8589,0.8326,0.8477,0.6155
63,0.9405,0.8990,1.1281,0.8653,0.8357,0.8430,0.6145
64,0.9566,0.8234,1.1019,0.8646,0.8451,0.8534,0.6154
65,0.9426,0.8724,1.1110,0.8630,0.8340,0.8481,0.6178
66,0.9491,0.8200,1.1178,0.8700,0.8426,0.8525,0.6219
67,0.9296,0.8245,1.1193,0.8742,0.8522,0.8562,0.6210
68,0.9146,0.8406,1.0653,0.8713,0.8393,0.8579,0.6182
69,0.8837,0.8200,1.0601,0.8804,0.8415,0.8579,0.6337
70,0.8758,0.7845,1.0429,0.8751,0.8529,0.8566,0.6307
71,0.9077,0.7689,1.0383,0.8738,0.8506,0.8589,0.6309
72,0.8855,0.7615,1.0911,0.8786,0.8503,0.8604,0.6272
73,0.8638,0.7922,1.0432,0.8812,0.8459,0.8642,0.6296
74,0.8663,0.7423,1.0758,0.8821,0.8502,0.8614,0.6267
75,0.8886,0.7481,1.0565,0.8828,0.8542,0.8672,0.6287
76,0.8786,0.7293,1.0875,0.8818,0.8523,0.8618,0.6348
77,0.8655,0.7489,1.0807,0.8799,0.8573,0.8686,0.6332
78,0.8769,0.7045,1.0663,0.8883,0.8517,0.8611,0.6359
79,0.8567,0.6833,1.0469,0.8899,0.8592,0.8690,0.6413
80,0.8701,0.7523,1.0458,0.8840,0.8582,0.8741,0.6277
81,0.8388,0.7037,1.0252,0.8881,0.8539,0.8763,0.6431
82,0.8303,0.6819,1.0260,0.8952,0.8596,0.8800,0.6438
83,0.8134,0.6657,1.0168,0.8914,0.8640,0.8743,0.6451
84,0.8443,0.6582,1.0395,0.8846,0.8685,0.8754,0.6386
85,0.8174,0.6715,1.0227,0.8905,0.8588,0.8792,0.6477
86,0.8334,0.6325,1.0304,0.8918,0.8589,0.8795,0.6465
87,0.8007,0.6895,0.9998,0.8936,0.8633,0.8759,0.6426
88,0.8565,0.6505,1.0139,0.8974,0.8577,0.8855,0.6389
89,0.8192,0.6503,1.0012,0.8908,0.8694,0.8813,0.6450
90,0.7775,0.6913,1.0206,0.8886,0.8737,0.8815,0.6417
91,0.7896,0.6415,1.0123,0.8950,0.8672,0.8835,0.6451
